"Status","URL","Redirected to","Link Text","On Page","Time stamp"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/players-module/creating-players/configuring-social-sharing-settings.html","","Configuring the Social Sharing Properties for a Player","http://docs.brightcove.com/en/video-cloud//brightcove-player/guides/social-media-plugin.html","Jan 24, 2016, 10:54:32 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-account-settings.html","","Managing Account Settings","http://docs.brightcove.com/en/video-cloud/oauth-api/guides/managing-api-credentials.html","Jan 24, 2016, 10:54:35 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-account-settings.html","","Managing Account Settings","http://docs.brightcove.com/en/video-cloud/oauth-api/guides/managing-api-credentials.html","Jan 24, 2016, 10:54:35 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-account-settings.html","","Managing Account Settings","http://docs.brightcove.com/en/video-cloud//oauth-api/guides/managing-api-credentials.html","Jan 24, 2016, 10:54:35 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/managing-accounts/managing-account-settings.html","","Managing Account Settings","http://docs.brightcove.com/en/video-cloud//oauth-api/guides/managing-api-credentials.html","Jan 24, 2016, 10:54:35 AM"
"The request timed out.","http://validator.w3.org","","validation service","http://docs.brightcove.com/en/video-cloud/batch-provisioning/guides/batch-provisioning-overview.html","Jan 24, 2016, 10:54:37 AM"
"The request timed out.","http://validator.w3.org","","validation service","http://docs.brightcove.com/en/video-cloud/batch-provisioning/reference/using-ftpbp.html","Jan 24, 2016, 10:54:37 AM"
"404 not found","https://console.brightcove.com/services/mannheim","","https://console.brightcove.com/services/mannheim/","http://docs.brightcove.com/en/video-cloud/batch-provisioning/samples/using-callbacks.html","Jan 24, 2016, 10:54:40 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/ingest-profiles-api/reference/packageFields","","packages","http://docs.brightcove.com/en/video-cloud/ingest-profiles-api/reference/profile-fields-reference.html","Jan 24, 2016, 10:54:40 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/cms-api/guides/www.sitemaps.org","","www.sitemaps.org","http://docs.brightcove.com/en/video-cloud/cms-api/guides/sitemaps.html","Jan 24, 2016, 10:54:40 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/general/key-features.html","","What is the New Brightcove Player?","http://docs.brightcove.com/en/video-cloud/player-management/getting-started/player-system-overview.html","Jan 24, 2016, 10:54:42 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/general/faq.html","","FAQ","http://docs.brightcove.com/en/video-cloud/player-management/getting-started/player-system-overview.html","Jan 24, 2016, 10:54:42 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/general/player-feature-comparison.html","","Feature Comparison","http://docs.brightcove.com/en/video-cloud/player-management/getting-started/player-system-overview.html","Jan 24, 2016, 10:54:42 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/general/migration-guide.html","","Migration Guide","http://docs.brightcove.com/en/video-cloud/player-management/getting-started/player-system-overview.html","Jan 24, 2016, 10:54:42 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/studio/general/supported-platforms-browers.html","","System Requirements","http://docs.brightcove.com/en/video-cloud/player-management/getting-started/player-system-overview.html","Jan 24, 2016, 10:54:42 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/media/solutions/www.sitemaps.org","","www.sitemaps.org","http://docs.brightcove.com/en/video-cloud/media/solutions/generate-sitemaps.html","Jan 24, 2016, 10:54:50 AM"
"403 forbidden < 302 found","http://support.brightcove.com/en/video-cloud/solutions/displaying-multiple-videos-single-page","https://support.brightcove.com/en/video-cloud/solutions/displaying-multiple-videos-single-page","Displaying multiple videos on a single page","http://docs.brightcove.com/en/video-cloud/smart-player-api/samples/playlist-duration.html","Jan 24, 2016, 10:54:52 AM"
"404 not found < 302 found","http://search.yahoo.com/mrss","http://video.search.yahoo.com/mrss","http://search.yahoo.com/mrss/'","http://docs.brightcove.com/en/video-cloud/tve/index.html","Jan 24, 2016, 10:54:52 AM"
"404 not found < 302 found","http://search.yahoo.com/mrss","http://video.search.yahoo.com/mrss","http://search.yahoo.com/mrss/","http://docs.brightcove.com/en/video-cloud/tve/index.html","Jan 24, 2016, 10:54:52 AM"
"404 not found < 302 found","http://search.yahoo.com/mrss","http://video.search.yahoo.com/mrss","http://search.yahoo.com/mrss/","http://docs.brightcove.com/en/video-cloud/tve/index.html","Jan 24, 2016, 10:54:52 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/analytics-api/references/versions/v1/index.htmlapi-Report-Get_Available_Date_Range","","API Reference","http://docs.brightcove.com/en/video-cloud/analytics-api/getting-started/api-overview.html","Jan 24, 2016, 10:54:53 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/analytics-api/references/versions/v1/index.htmlapi-Report-Get_Available_Date_Range","","API Reference","http://docs.brightcove.com/en/video-cloud/analytics-api/getting-started/api-overview.html","Jan 24, 2016, 10:54:53 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/analytics-api/getting-started/engagementEndpoints","","see more...","http://docs.brightcove.com/en/video-cloud/analytics-api/getting-started/migration-guide.html","Jan 24, 2016, 10:54:53 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/analytics-api/guides/api-overview.html","","Analytics API Overview","http://docs.brightcove.com/en/video-cloud/analytics-api/guides/glossary.html","Jan 24, 2016, 10:54:54 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/analytics-api/guides/api-overview.html","","Analytics API Overview","http://docs.brightcove.com/en/video-cloud/analytics-api/guides/glossary.html","Jan 24, 2016, 10:54:54 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/analytics-api/guides/api-overview.html","","Analytics API Overview","http://docs.brightcove.com/en/video-cloud/analytics-api/guides/glossary.html","Jan 24, 2016, 10:54:54 AM"
